,MONTH,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN,TOTAL,MEDIAN
0,07,6.32,7.16,6.89,5.83,7.92,34.99,6.89
1,12,5.3,5.68,5.58,5.785,5.734999999999999,28.080000000000002,5.574999999999999
2,10,5.28,5.23,5.33,5.3,6.04,26.689999999999998,5.3
3,05,4.56,4.52,4.59,4.41,4.51,22.589999999999996,4.52
4,08,4.28,4.14,4.27,3.85,5.02,20.43,4.07
5,04,4.42,4.03,4.24,4.05,3.87,20.650000000000002,4.05
6,03,3.68,3.89,3.83,3.93,3.8,19.26,3.83
7,09,3.75,3.73,3.8,3.69,3.99,18.96,3.75
8,02,3.25,3.54,3.39,3.54,3.6,17.32,3.54
9,11,3.11,2.945,3.005,3.15,2.63,14.84,2.9699999999999998
10,06,2.85,2.92,3.01,2.36,3.61,14.749999999999998,2.92
11,01,2.21,2.38,2.32,2.31,2.3,11.52,2.31
